time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
22492.782,19.0099999999984,3.223972,3.2309126710197207,0.0069406710197208454,0.00788634732376734,-74.998916,1,29,6
22493.781,20.008999999998196,3.223219,3.2304035929667236,0.007184592966723802,0.00788634732376734,-74.99897,1,29,6
22494.749,20.976999999998952,3.222502,3.2299322616368444,0.00743026163684446,0.00788634732376734,-74.998966,1,29,6
22495.746,21.97399999999834,3.221821,3.2294673502737683,0.007646350273768476,0.00788634732376734,-74.998963,1,29,6
22496.749,22.976999999998952,3.221147,3.229019008444984,0.007872008444983702,0.00788634732376734,-74.998974,1,29,6
22497.748,23.97599999999875,3.220532,3.228590404445716,0.00805840444571615,0.00788634732376734,-74.99897,1,29,6
22498.748,24.97599999999875,3.21994,3.2281781875833335,0.008238187583333723,0.00788634732376734,-74.999007,1,29,6
22499.748,25.97599999999875,3.219378,3.227781845502184,0.008403845502184204,0.00788634732376734,-74.999036,1,29,6
22500.708,26.935999999997875,3.218834,3.2274155299610148,0.008581529961014578,0.00788634732376734,-74.999036,1,29,6
22501.709,27.93699999999808,3.218319,3.2270476547313365,0.008728654731336327,0.00788634732376734,-74.998977,1,29,6
22502.707,28.93499999999767,3.217821,3.2266945591574485,0.008873559157448696,0.00788634732376734,-74.998958,1,29,6
22503.708,29.935999999997875,3.217362,3.226353530402682,0.008991530402681747,0.00788634732376734,-74.999044,1,29,6
26154.248,0.0,3.293659,3.2936590000000034,3.552713678800501e-15,0.010032609944061584,-74.994933,1,34,7
26155.249,1.0010000000002037,3.248195,3.2780798284664807,0.029884828466480773,0.010032609944061584,-74.998703,1,34,7
26156.249,2.0010000000002037,3.244708,3.2666805932817824,0.02197259328178225,0.010032609944061584,-74.998462,1,34,7
26157.251,3.003000000000611,3.242213,3.2582589223875744,0.016045922387574407,0.010032609944061584,-74.998654,1,34,7
26158.253,4.005000000001019,3.239962,3.2519977102542303,0.012035710254230558,0.010032609944061584,-74.998715,1,34,7
26159.251,5.003000000000611,3.238011,3.2473086741127055,0.009297674112705323,0.010032609944061584,-74.998713,1,34,7
26160.253,6.005000000001019,3.236238,3.243722029276371,0.007484029276370929,0.010032609944061584,-74.998743,1,34,7
26161.253,7.005000000001019,3.234607,3.240953100841437,0.006346100841437163,0.010032609944061584,-74.99883,1,34,7
26162.254,8.006000000001222,3.233101,3.2387699196111024,0.005668919611102385,0.010032609944061584,-74.99887,1,34,7
26163.252,9.004000000000815,3.231707,3.237020600977217,0.005313600977217003,0.010032609944061584,-74.998895,1,34,7
26164.248,10.0,3.230396,3.235586691423068,0.005190691423068383,0.010032609944061584,-74.99888,1,34,7
26165.248,11.0,3.229184,3.234378481180828,0.005194481180827992,0.010032609944061584,-74.998905,1,34,7
26166.249,12.001000000000204,3.22802,3.233342015116698,0.005322015116698164,0.010032609944061584,-74.998869,1,34,7
26167.25,13.002000000000407,3.226924,3.2324357361720337,0.005511736172033821,0.010032609944061584,-74.998924,1,34,7
26168.25,14.002000000000407,3.225898,3.231629466108173,0.005731466108172878,0.010032609944061584,-74.998926,1,34,7
26169.249,15.001000000000204,3.22493,3.2309006128963897,0.005970612896389671,0.010032609944061584,-74.99904,1,34,7
26170.241,15.993000000002212,3.223996,3.2302366644221583,0.006240664422158204,0.010032609944061584,-74.99891,1,34,7
26171.239,16.991000000001804,3.223129,3.229617117045238,0.0064881170452379955,0.010032609944061584,-74.998941,1,34,7
26172.241,17.993000000002212,3.222294,3.229035262522472,0.006741262522471647,0.010032609944061584,-74.998904,1,34,7
26173.24,18.992000000002008,3.221503,3.2284888146751847,0.006985814675184887,0.010032609944061584,-74.998954,1,34,7
26174.239,19.991000000001804,3.220745,3.227971210853611,0.007226210853611192,0.010032609944061584,-74.998957,1,34,7
